Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Population Fouquieria columnaris,Population Vitis Arizonica
2025-03-24 16:19,72.45,70.59,375.13,99,100
2025-03-24 16:34,75.16,63.06,255.38,98,102
2025-03-24 16:49,84.0,95.51,342.56,100,99
2025-03-24 17:04,66.18,70.73,253.93,100,99
2025-03-24 17:19,77.88,88.71,339.12,100,99
2025-03-24 17:34,66.33,70.64,325.25,100,99
2025-03-24 17:49,85.43,76.31,367.58,98,102
2025-03-24 18:04,68.51,96.9,253.86,102,96
2025-03-24 18:19,62.43,90.48,293.08,102,95
2025-03-24 18:34,75.47,90.2,293.84,100,98
2025-03-24 18:49,67.64,75.52,267.1,100,99
2025-03-24 19:04,83.57,77.5,313.83,98,102
2025-03-24 19:19,66.42,83.39,358.74,101,97
2025-03-24 19:34,76.91,99.68,287.37,101,97
2025-03-24 19:49,89.09,76.34,364.67,97,103
2025-03-24 20:04,85.92,80.34,303.18,98,102
2025-03-24 20:19,79.47,60.09,252.09,97,103
2025-03-24 20:34,67.3,93.64,364.94,102,96
2025-03-24 20:49,86.82,71.08,287.58,97,103
2025-03-24 21:04,62.59,83.81,351.36,102,96
2025-03-24 21:19,89.48,62.86,260.04,96,105
2025-03-24 21:34,84.8,65.42,337.41,97,104
2025-03-24 21:49,79.93,70.58,271.45,98,102
2025-03-24 22:04,77.4,81.59,324.43,99,100
2025-03-24 22:19,62.18,71.0,285.93,101,98
2025-03-24 22:34,70.51,71.36,277.63,99,100
2025-03-24 22:49,84.76,73.32,381.58,97,102
2025-03-24 23:04,67.79,81.17,332.4,101,98
2025-03-24 23:19,79.94,62.94,262.12,97,103
2025-03-24 23:34,82.88,71.39,368.34,97,102
2025-03-24 23:49,84.89,97.23,346.77,100,99
2025-03-25 00:04,64.18,61.94,382.86,99,100
2025-03-25 00:19,84.22,78.05,293.04,98,102
2025-03-25 00:34,61.43,97.18,266.07,103,94
2025-03-25 00:49,89.38,67.45,255.92,96,104
2025-03-25 01:04,67.41,74.8,294.16,100,99
2025-03-25 01:19,84.85,88.28,304.36,99,100
2025-03-25 01:34,76.61,75.67,276.05,99,100
2025-03-25 01:49,68.36,72.02,388.93,100,99
2025-03-25 02:04,87.25,92.23,322.57,99,100
2025-03-25 02:19,66.96,68.83,325.04,100,100
2025-03-25 02:34,63.18,68.68,316.95,100,99
2025-03-25 02:49,69.76,78.32,272.15,100,99
2025-03-25 03:04,80.65,97.94,352.72,100,98
2025-03-25 03:19,71.68,61.52,375.46,98,102
2025-03-25 03:34,72.99,80.53,317.94,100,99
2025-03-25 03:49,60.97,84.63,280.51,102,96
2025-03-25 04:04,71.6,91.39,250.97,101,97
2025-03-25 04:19,76.03,75.07,267.89,99,100
2025-03-25 04:34,66.41,79.57,332.85,101,98
2025-03-25 04:49,60.97,76.35,342.01,101,97
2025-03-25 05:04,82.78,87.17,386.61,99,100
2025-03-25 05:19,89.16,70.2,341.77,96,104
2025-03-25 05:34,63.37,91.49,281.38,102,95
2025-03-25 05:49,69.72,71.29,343.96,99,100
2025-03-25 06:04,80.71,97.65,268.52,100,98
2025-03-25 06:19,87.16,92.25,268.54,99,100
2025-03-25 06:34,61.18,83.14,370.63,102,96
2025-03-25 06:49,61.66,97.96,264.85,103,94
2025-03-25 07:04,65.56,74.56,301.67,100,98
2025-03-25 07:19,73.72,84.34,343.0,100,99
2025-03-25 07:34,80.3,87.15,376.47,99,99
2025-03-25 07:49,88.47,95.38,307.71,99,100
2025-03-25 08:04,75.35,61.57,298.82,98,102
2025-03-25 08:19,83.89,72.2,348.28,97,102
2025-03-25 08:34,81.46,62.84,364.01,97,103
2025-03-25 08:49,69.27,78.31,325.3,100,99
2025-03-25 09:04,85.42,70.01,380.91,97,103
2025-03-25 09:19,80.73,90.12,319.31,100,99
2025-03-25 09:34,85.37,79.81,299.18,98,102
2025-03-25 09:49,64.18,74.86,348.05,101,98
2025-03-25 10:04,62.73,78.51,265.04,101,97
2025-03-25 10:19,64.25,94.01,374.66,103,95
2025-03-25 10:34,73.66,72.05,353.37,99,100
2025-03-25 10:49,65.22,86.46,269.2,102,97
2025-03-25 11:04,63.66,95.77,354.54,103,95
2025-03-25 11:19,82.19,92.01,312.91,100,99
2025-03-25 11:34,79.59,62.6,283.43,97,103
2025-03-25 11:49,85.98,72.62,343.35,97,103
2025-03-25 12:04,65.4,71.5,275.06,100,99
2025-03-25 12:19,85.61,87.88,371.9,99,100
2025-03-25 12:34,64.56,60.18,278.79,99,100
2025-03-25 12:49,65.86,72.01,374.89,100,99
2025-03-25 13:04,62.39,91.18,297.98,103,95
2025-03-25 13:19,82.55,87.77,346.55,99,100
2025-03-25 13:34,82.6,90.65,259.08,99,99
2025-03-25 13:49,79.99,86.35,311.77,99,100
2025-03-25 14:04,79.97,85.04,303.03,99,100
2025-03-25 14:19,74.95,83.37,379.71,100,99
2025-03-25 14:34,62.29,68.69,312.38,100,99
2025-03-25 14:49,73.67,74.11,253.58,99,100
2025-03-25 15:04,77.22,83.66,335.72,100,99
2025-03-25 15:19,84.15,61.13,352.35,96,104
2025-03-25 15:34,63.04,77.24,271.88,101,98
2025-03-25 15:49,89.46,97.19,331.61,99,100
2025-03-25 16:04,84.65,89.78,270.71,99,100
2025-03-25 16:19,68.23,84.25,265.19,101,98
2025-03-25 16:34,85.56,84.62,285.9,98,101
2025-03-25 16:49,88.19,94.79,299.6,99,100
2025-03-25 17:04,67.83,92.63,261.09,102,96
2025-03-25 17:19,78.55,80.93,323.97,99,100
2025-03-25 17:34,66.15,90.62,273.33,102,96
2025-03-25 17:49,60.33,83.84,306.08,102,96
2025-03-25 18:04,68.54,64.29,312.74,99,101
2025-03-25 18:19,62.38,90.41,385.81,102,95
2025-03-25 18:34,84.66,66.8,255.58,97,103
2025-03-25 18:49,89.24,81.69,352.7,98,102
2025-03-25 19:04,60.98,99.14,338.91,104,94
2025-03-25 19:19,61.17,70.07,302.07,101,98
2025-03-25 19:34,70.78,68.63,335.5,99,100
2025-03-25 19:49,71.66,61.76,360.19,98,102
2025-03-25 20:04,74.47,88.44,278.01,100,98
2025-03-25 20:19,61.82,79.51,356.9,101,97
2025-03-25 20:34,71.48,98.22,321.69,102,96
2025-03-25 20:49,78.1,77.49,369.1,99,100
2025-03-25 21:04,80.27,74.31,324.67,98,101
2025-03-25 21:19,75.1,84.08,335.94,100,99
2025-03-25 21:34,62.92,89.57,308.42,102,96
2025-03-25 21:49,64.7,83.23,274.52,101,97
2025-03-25 22:04,67.51,62.64,389.09,99,101
2025-03-25 22:19,69.34,95.56,321.9,102,96
2025-03-25 22:34,86.78,75.18,364.22,97,103
2025-03-25 22:49,63.84,70.35,283.3,100,99
2025-03-25 23:04,64.99,68.87,267.96,100,99
2025-03-25 23:19,71.77,72.14,343.21,99,100
2025-03-25 23:34,87.59,62.79,291.92,96,105
2025-03-25 23:49,78.04,64.99,266.55,98,102
2025-03-26 00:04,79.02,86.62,347.3,100,99
2025-03-26 00:19,76.89,65.1,333.19,98,102
2025-03-26 00:34,81.56,96.95,343.27,100,98
2025-03-26 00:49,64.16,62.71,358.51,99,100
2025-03-26 01:04,65.36,97.16,338.67,103,95
2025-03-26 01:19,89.06,75.94,292.66,97,103
2025-03-26 01:34,75.99,82.39,386.84,100,99
2025-03-26 01:49,88.05,69.78,333.92,97,104
2025-03-26 02:04,66.59,65.47,255.34,99,100
2025-03-26 02:19,84.92,72.4,266.97,97,103
2025-03-26 02:34,69.43,65.79,256.73,99,101
2025-03-26 02:49,71.37,94.75,269.2,102,97
2025-03-26 03:04,75.44,88.11,310.15,100,98
2025-03-26 03:19,75.19,73.14,305.84,99,101
2025-03-26 03:34,67.15,91.87,378.2,102,96
2025-03-26 03:49,83.4,79.49,385.07,98,101
2025-03-26 04:04,88.63,88.91,287.2,98,101
2025-03-26 04:19,79.39,65.62,370.19,97,103
2025-03-26 04:34,78.83,89.35,264.03,100,99
2025-03-26 04:49,70.68,96.7,383.72,102,96
2025-03-26 05:04,89.51,71.37,300.07,96,104
2025-03-26 05:19,86.47,63.19,343.84,96,104
2025-03-26 05:34,88.53,60.96,260.99,96,105
2025-03-26 05:49,86.65,74.83,311.24,97,103
2025-03-26 06:04,63.2,92.8,267.87,103,95
2025-03-26 06:19,67.88,96.04,332.21,102,96
2025-03-26 06:34,66.36,92.77,344.22,102,96
2025-03-26 06:49,62.94,89.29,282.22,102,96
2025-03-26 07:04,66.55,76.36,281.85,100,98
2025-03-26 07:19,88.12,93.27,256.12,99,100
2025-03-26 07:34,72.6,99.6,370.92,102,96
2025-03-26 07:49,81.23,92.23,281.83,100,99
2025-03-26 08:04,81.74,67.81,266.2,97,103
2025-03-26 08:19,75.49,62.24,273.15,98,102
2025-03-26 08:34,67.61,69.47,254.27,100,100
2025-03-26 08:49,83.14,77.93,367.12,98,101
2025-03-26 09:04,61.14,92.25,325.7,103,95
2025-03-26 09:19,62.38,84.06,374.33,102,96
2025-03-26 09:34,74.98,67.5,362.11,98,101
2025-03-26 09:49,61.46,76.56,288.41,101,97
2025-03-26 10:04,69.65,99.78,337.57,102,95
2025-03-26 10:19,60.24,79.92,365.45,102,97
2025-03-26 10:34,89.95,77.02,270.46,97,103
2025-03-26 10:49,69.41,97.68,336.84,102,96
2025-03-26 11:04,61.71,92.89,357.77,103,95
2025-03-26 11:19,77.73,89.11,319.67,100,99
2025-03-26 11:34,61.01,68.13,343.78,100,98
2025-03-26 11:49,68.52,85.83,306.53,101,97
2025-03-26 12:04,77.4,96.62,318.12,101,97
2025-03-26 12:19,60.43,85.58,305.38,102,96
2025-03-26 12:34,76.67,78.2,381.94,99,100
2025-03-26 12:49,80.88,83.53,303.55,99,100
2025-03-26 13:04,60.82,98.12,306.09,103,94
2025-03-26 13:19,88.6,63.24,293.0,96,105
2025-03-26 13:34,63.53,95.68,374.69,103,95
2025-03-26 13:49,84.37,95.44,374.77,100,99
2025-03-26 14:04,82.74,90.42,254.86,99,99
2025-03-26 14:19,64.59,61.32,347.21,99,100
2025-03-26 14:34,73.71,81.45,353.94,100,99
2025-03-26 14:49,88.12,76.33,288.81,97,103
2025-03-26 15:04,78.16,92.44,308.28,100,98
2025-03-26 15:19,66.98,84.47,379.78,101,97
2025-03-26 15:34,84.01,74.28,276.26,98,102
2025-03-26 15:49,79.97,77.11,351.58,98,101
2025-03-26 16:04,60.33,65.36,383.26,100,99
2025-03-26 16:19,70.53,93.66,267.55,102,97
2025-03-26 16:34,81.58,66.0,254.88,97,103
2025-03-26 16:49,72.05,71.09,286.27,99,100
2025-03-26 17:04,63.91,86.32,337.47,102,96
2025-03-26 17:19,74.18,92.46,294.23,101,97
2025-03-26 17:34,85.99,66.09,371.4,96,104
2025-03-26 17:49,71.07,66.11,339.53,99,101
2025-03-26 18:04,72.71,63.76,314.58,98,101
2025-03-26 18:19,73.97,97.63,370.94,101,97
2025-03-26 18:34,78.76,98.74,323.14,101,97
2025-03-26 18:49,71.39,82.37,373.78,100,98
2025-03-26 19:04,88.32,88.48,335.32,98,101
2025-03-26 19:19,83.16,61.84,387.0,96,104
2025-03-26 19:34,81.5,77.75,324.11,98,101
2025-03-26 19:49,74.36,61.23,376.06,98,102
2025-03-26 20:04,62.97,94.0,265.47,103,95
2025-03-26 20:19,78.02,60.88,323.01,97,103
2025-03-26 20:34,67.34,83.99,338.38,101,97
2025-03-26 20:49,61.49,68.17,278.35,100,99
2025-03-26 21:04,87.6,99.3,291.42,100,99
2025-03-26 21:19,61.02,77.42,336.7,101,97
2025-03-26 21:34,82.85,73.59,372.2,98,102
2025-03-26 21:49,67.32,95.28,345.39,102,96
2025-03-26 22:04,69.73,88.21,332.21,101,97
2025-03-26 22:19,86.64,90.79,358.05,99,100
2025-03-26 22:34,66.76,80.84,304.26,101,98
2025-03-26 22:49,79.38,76.21,307.42,98,101
2025-03-26 23:04,79.88,71.36,262.69,98,102
2025-03-26 23:19,65.27,92.06,334.19,102,96
2025-03-26 23:34,64.95,76.77,343.14,101,98
2025-03-26 23:49,87.73,82.35,289.58,98,102
2025-03-27 00:04,74.62,96.14,370.03,101,97
2025-03-27 00:19,79.17,90.81,376.24,100,99
2025-03-27 00:34,81.78,69.33,280.2,97,102
2025-03-27 00:49,73.5,71.45,310.55,99,100
2025-03-27 01:04,74.72,96.49,299.32,101,97
2025-03-27 01:19,67.25,97.27,367.52,102,95
2025-03-27 01:34,69.57,65.19,323.54,99,101
2025-03-27 01:49,76.75,62.54,357.38,97,102
2025-03-27 02:04,66.43,84.58,291.88,101,97
2025-03-27 02:19,78.67,94.69,369.28,100,98
2025-03-27 02:34,65.72,61.01,341.92,99,100
2025-03-27 02:49,76.45,96.88,353.77,101,97
2025-03-27 03:04,72.24,81.92,268.56,100,99
2025-03-27 03:19,68.58,89.55,316.71,101,97
2025-03-27 03:34,75.99,99.83,301.89,101,97
2025-03-27 03:49,63.52,98.79,352.38,103,94
2025-03-27 04:04,79.66,93.1,331.21,100,98
2025-03-27 04:19,79.94,61.59,293.09,97,103
2025-03-27 04:34,78.67,72.13,289.26,98,101
2025-03-27 04:49,84.7,61.79,339.26,96,104
2025-03-27 05:04,83.27,76.2,266.75,98,102
2025-03-27 05:19,68.71,85.38,367.57,101,97
2025-03-27 05:34,61.11,79.27,382.05,102,97
2025-03-27 05:49,67.69,61.8,383.73,99,101
2025-03-27 06:04,74.4,78.6,275.36,99,100
2025-03-27 06:19,87.45,92.66,362.57,99,100
2025-03-27 06:34,84.13,63.1,268.18,96,104
2025-03-27 06:49,77.07,93.2,386.16,101,98
2025-03-27 07:04,60.21,98.13,358.2,104,94
2025-03-27 07:19,71.05,75.66,373.93,100,99
2025-03-27 07:34,77.14,69.49,256.54,98,102
2025-03-27 07:49,63.0,98.34,315.85,103,94
2025-03-27 08:04,87.1,81.87,316.54,98,102
2025-03-27 08:19,82.67,79.68,277.05,98,101
2025-03-27 08:34,80.94,80.45,334.51,99,101
2025-03-27 08:49,69.53,70.09,324.57,99,100
2025-03-27 09:04,78.58,74.14,331.2,98,101
2025-03-27 09:19,89.32,88.92,271.36,98,101
2025-03-27 09:34,88.65,75.75,367.64,97,103
2025-03-27 09:49,68.72,82.3,361.03,101,98
2025-03-27 10:04,75.54,71.73,376.39,99,101
2025-03-27 10:19,79.73,64.22,359.92,97,103
2025-03-27 10:34,83.91,82.0,268.04,98,101
2025-03-27 10:49,72.03,95.9,267.48,102,97
2025-03-27 11:04,89.19,85.14,294.78,98,102
2025-03-27 11:19,78.39,78.81,250.12,99,100
2025-03-27 11:34,73.31,66.55,375.44,98,101
2025-03-27 11:49,67.37,80.05,380.94,101,98
2025-03-27 12:04,61.76,72.73,382.58,101,98
2025-03-27 12:19,81.6,93.02,349.44,100,99
2025-03-27 12:34,73.69,81.97,357.49,100,99
2025-03-27 12:49,80.99,96.36,266.76,100,98
2025-03-27 13:04,65.7,63.45,311.31,99,100
2025-03-27 13:19,71.57,68.29,250.91,99,101
2025-03-27 13:34,84.94,91.72,319.83,99,100
2025-03-27 13:49,67.41,96.19,329.22,102,96
2025-03-27 14:04,73.52,83.99,314.0,100,99
2025-03-27 14:19,70.46,73.74,317.82,100,100
2025-03-27 14:34,64.75,91.59,373.39,102,96
2025-03-27 14:49,70.53,61.17,333.62,98,101
2025-03-27 15:04,63.43,70.66,386.29,100,99
2025-03-27 15:19,89.79,91.94,283.51,98,101
2025-03-27 15:34,85.23,78.15,305.38,98,102
2025-03-27 15:49,61.3,74.15,281.27,101,98
2025-03-27 16:04,86.65,73.21,310.27,97,103
2025-03-27 16:19,71.61,73.08,350.72,99,100
2025-03-27 16:34,69.7,68.81,257.1,99,100
2025-03-27 16:49,75.66,68.47,253.18,98,101
2025-03-27 17:04,84.76,65.46,310.95,97,104
2025-03-27 17:19,86.93,66.06,287.76,96,104
2025-03-27 17:34,80.82,79.89,371.8,99,101
2025-03-27 17:49,84.22,98.47,337.68,100,99
2025-03-27 18:04,85.28,60.23,329.92,96,105
2025-03-27 18:19,74.0,67.01,380.01,98,101
2025-03-27 18:34,74.09,82.59,362.08,100,99
2025-03-27 18:49,67.46,77.11,347.25,100,98
2025-03-27 19:04,68.06,78.92,342.22,100,98
2025-03-27 19:19,75.89,93.99,277.26,101,98
2025-03-27 19:34,73.81,99.64,385.36,102,96
2025-03-27 19:49,85.29,78.92,382.77,98,102
2025-03-27 20:04,73.68,75.73,366.56,99,100
2025-03-27 20:19,63.95,80.69,293.27,101,97
2025-03-27 20:34,75.72,92.23,279.52,101,98
2025-03-27 20:49,82.34,89.82,315.68,99,99
2025-03-27 21:04,71.91,74.6,325.77,99,100
2025-03-27 21:19,61.52,84.65,296.68,102,96
2025-03-27 21:34,77.63,87.18,387.31,100,99
2025-03-27 21:49,80.72,96.94,282.88,100,98
2025-03-27 22:04,87.07,61.19,304.32,96,105
2025-03-27 22:19,71.99,94.2,250.8,101,97
2025-03-27 22:34,85.35,96.52,292.21,100,99
2025-03-27 22:49,75.1,73.12,360.7,99,101
2025-03-27 23:04,60.58,96.49,340.84,103,94
2025-03-27 23:19,66.84,82.9,300.11,101,97
2025-03-27 23:34,80.5,96.37,293.8,100,98
2025-03-27 23:49,84.61,84.57,277.8,99,101
2025-03-28 00:04,68.8,60.2,385.99,98,101
2025-03-28 00:19,72.38,97.63,358.79,102,96
2025-03-28 00:34,75.91,85.62,291.41,100,99
2025-03-28 00:49,74.9,81.37,289.78,100,99
2025-03-28 01:04,73.37,68.79,289.51,99,101
2025-03-28 01:19,86.63,65.12,301.72,96,104
2025-03-28 01:34,83.11,84.43,354.58,99,100
2025-03-28 01:49,89.73,94.68,319.57,99,100
2025-03-28 02:04,78.16,73.92,372.79,98,101
2025-03-28 02:19,71.67,70.29,288.4,99,100
2025-03-28 02:34,88.64,82.77,385.24,98,102
2025-03-28 02:49,83.98,60.97,371.15,96,104
2025-03-28 03:04,77.19,78.43,372.37,99,100
2025-03-28 03:19,62.11,67.07,285.8,100,99
2025-03-28 03:34,80.84,99.01,262.36,101,98
2025-03-28 03:49,75.03,83.36,311.51,100,99
2025-03-28 04:04,65.51,79.8,298.02,101,98
2025-03-28 04:19,73.27,63.91,321.96,98,102
2025-03-28 04:34,68.35,77.95,369.19,100,98
2025-03-28 04:49,62.18,82.77,318.77,102,97
2025-03-28 05:04,76.92,89.46,311.25,100,98
2025-03-28 05:19,81.02,68.83,267.63,97,102
2025-03-28 05:34,85.73,74.17,365.17,97,103
2025-03-28 05:49,83.29,63.23,323.5,97,104
2025-03-28 06:04,67.24,69.3,296.61,100,100
2025-03-28 06:19,63.18,74.94,294.26,101,98
2025-03-28 06:34,74.74,63.83,330.98,98,102
2025-03-28 06:49,84.57,94.86,352.84,100,99
2025-03-28 07:04,85.94,98.08,250.48,100,99
2025-03-28 07:19,89.96,80.42,297.11,97,102
2025-03-28 07:34,61.11,89.14,290.19,102,95
2025-03-28 07:49,60.51,64.46,331.42,100,99
2025-03-28 08:04,86.02,77.44,257.03,98,102
2025-03-28 08:19,83.95,76.49,333.14,98,102
2025-03-28 08:34,68.28,88.53,347.2,101,97
2025-03-28 08:49,75.73,72.88,307.0,99,101
