Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Population Fouquieria columnaris,Population Vitis Arizonica
2025-03-23 12:49,86.49,81.22,324.21,98,102
2025-03-23 13:04,69.06,98.0,266.3,102,96
2025-03-23 13:19,82.61,67.14,375.27,97,103
2025-03-23 13:34,72.49,76.62,270.19,100,100
2025-03-23 13:49,73.83,90.88,336.64,101,98
2025-03-23 14:04,75.71,64.07,365.25,98,102
2025-03-23 14:19,80.89,79.32,323.28,99,101
2025-03-23 14:34,88.29,92.68,313.71,99,100
2025-03-23 14:49,80.83,91.29,387.53,100,99
2025-03-23 15:04,74.25,84.1,318.89,100,99
2025-03-23 15:19,67.38,72.6,270.38,100,99
2025-03-23 15:34,68.26,66.26,338.66,99,100
2025-03-23 15:49,71.61,61.18,329.5,98,102
2025-03-23 16:04,86.86,68.21,343.98,97,104
2025-03-23 16:19,72.42,96.56,288.82,102,97
2025-03-23 16:34,63.89,76.63,321.8,101,98
2025-03-23 16:49,70.29,69.39,250.26,99,100
2025-03-23 17:04,73.83,86.18,354.8,100,98
2025-03-23 17:19,89.29,79.66,326.03,97,102
2025-03-23 17:34,85.76,71.2,312.3,97,103
2025-03-23 17:49,82.49,98.84,356.64,100,98
2025-03-23 18:04,71.84,63.53,253.66,98,101
2025-03-23 18:19,62.0,95.1,288.97,103,95
2025-03-23 18:34,87.64,99.36,334.53,100,99
2025-03-23 18:49,73.84,99.47,335.55,102,96
2025-03-23 19:04,83.17,93.2,322.52,100,99
2025-03-23 19:19,85.55,65.89,267.49,97,104
2025-03-23 19:34,87.36,78.9,347.87,98,102
2025-03-23 19:49,63.09,75.5,271.27,101,98
2025-03-23 20:04,77.28,74.24,347.95,99,101
2025-03-23 20:19,71.11,92.36,261.99,101,97
2025-03-23 20:34,89.64,69.3,355.82,96,104
2025-03-23 20:49,63.84,91.38,369.52,102,96
2025-03-23 21:04,82.89,61.71,375.23,96,104
2025-03-23 21:19,76.49,66.33,253.13,98,102
2025-03-23 21:34,75.34,65.98,321.77,98,102
2025-03-23 21:49,60.76,75.75,300.59,101,97
2025-03-23 22:04,64.96,98.66,268.38,103,95
2025-03-23 22:19,70.0,94.11,296.02,102,96
2025-03-23 22:34,75.86,69.66,377.82,98,101
2025-03-23 22:49,67.01,60.34,295.41,99,101
2025-03-23 23:04,63.9,96.49,332.4,103,95
2025-03-23 23:19,83.06,88.19,357.35,99,100
2025-03-23 23:34,88.67,67.19,259.93,96,104
2025-03-23 23:49,81.75,94.8,263.35,100,99
2025-03-24 00:04,80.72,93.41,369.42,100,99
2025-03-24 00:19,67.37,70.02,340.99,100,99
2025-03-24 00:34,69.12,69.99,268.64,99,100
2025-03-24 00:49,75.05,71.81,276.55,99,101
2025-03-24 01:04,61.36,73.51,353.86,101,98
2025-03-24 01:19,70.49,63.31,303.27,99,101
2025-03-24 01:34,87.51,96.34,306.53,99,100
2025-03-24 01:49,82.74,63.91,356.05,97,103
2025-03-24 02:04,70.61,62.0,256.06,98,101
2025-03-24 02:19,86.06,74.95,314.09,97,102
2025-03-24 02:34,87.09,76.11,313.25,97,103
2025-03-24 02:49,86.66,95.44,328.33,99,100
2025-03-24 03:04,68.92,60.52,273.84,98,101
2025-03-24 03:19,61.22,99.16,287.72,103,94
2025-03-24 03:34,63.18,97.72,381.93,103,94
2025-03-24 03:49,88.31,80.64,292.73,98,102
2025-03-24 04:04,87.64,76.36,308.55,97,103
2025-03-24 04:19,78.4,95.59,321.4,101,98
2025-03-24 04:34,63.02,91.25,310.1,102,95
2025-03-24 04:49,88.3,86.44,359.83,98,101
2025-03-24 05:04,65.14,83.79,276.68,101,97
2025-03-24 05:19,69.26,97.47,304.52,102,96
2025-03-24 05:34,62.73,62.32,264.73,100,100
2025-03-24 05:49,82.36,74.09,259.51,98,102
2025-03-24 06:04,72.95,87.36,272.38,101,98
2025-03-24 06:19,64.92,62.91,318.66,99,100
2025-03-24 06:34,84.11,76.77,307.31,98,102
2025-03-24 06:49,84.93,98.62,341.78,100,99
2025-03-24 07:04,63.63,98.92,358.67,103,94
2025-03-24 07:19,73.55,73.51,296.47,99,100
2025-03-24 07:34,84.43,92.79,343.89,99,99
2025-03-24 07:49,70.67,78.77,358.45,100,99
2025-03-24 08:04,81.62,90.28,363.12,100,99
2025-03-24 08:19,61.73,85.49,264.37,102,96
2025-03-24 08:34,63.51,70.48,344.95,100,99
2025-03-24 08:49,70.96,61.78,306.74,98,101
2025-03-24 09:04,64.41,83.94,318.92,101,97
2025-03-24 09:19,80.97,77.45,365.1,98,101
2025-03-24 09:34,82.69,67.75,317.5,97,103
2025-03-24 09:49,60.73,60.0,323.84,100,100
2025-03-24 10:04,61.94,67.97,352.59,100,99
2025-03-24 10:19,76.76,65.35,253.03,98,102
2025-03-24 10:34,88.77,73.7,372.14,97,103
2025-03-24 10:49,76.29,83.24,334.12,100,99
2025-03-24 11:04,71.1,88.62,308.15,101,97
2025-03-24 11:19,65.47,95.19,369.22,102,95
2025-03-24 11:34,65.56,77.08,299.5,101,98
2025-03-24 11:49,85.98,87.06,262.97,99,101
2025-03-24 12:04,79.27,76.27,271.51,98,101
2025-03-24 12:19,86.09,70.59,365.76,97,103
2025-03-24 12:34,86.44,60.22,309.21,96,105
2025-03-24 12:49,78.3,63.84,317.18,97,103
2025-03-24 13:04,62.29,76.1,289.39,101,98
2025-03-24 13:19,72.76,85.36,364.79,100,98
2025-03-24 13:34,74.71,96.91,272.79,101,97
2025-03-24 13:49,63.21,81.97,276.94,101,97
2025-03-24 14:04,86.9,98.0,366.94,100,99
2025-03-24 14:19,67.35,65.5,281.11,99,100
2025-03-24 14:34,60.69,71.38,343.49,101,98
2025-03-24 14:49,80.91,76.0,302.0,98,101
2025-03-24 15:04,61.14,74.68,309.28,101,98
2025-03-24 15:19,72.97,79.29,277.19,100,99
2025-03-24 15:34,89.24,92.11,374.38,99,101
2025-03-24 15:49,76.75,96.88,333.59,101,97
2025-03-24 16:04,66.33,65.41,294.04,99,100
2025-03-24 16:19,89.26,84.95,294.07,98,102
2025-03-24 16:34,64.82,85.0,373.22,102,97
2025-03-24 16:49,68.81,94.88,305.0,102,96
2025-03-24 17:04,88.05,96.53,374.37,99,100
2025-03-24 17:19,73.18,75.07,326.01,99,100
2025-03-24 17:34,82.88,70.8,273.07,97,102
2025-03-24 17:49,85.97,74.75,385.03,97,102
2025-03-24 18:04,69.44,72.65,301.73,100,99
2025-03-24 18:19,83.23,79.77,265.43,98,101
2025-03-24 18:34,74.18,63.9,317.39,98,102
2025-03-24 18:49,64.95,99.09,323.2,103,95
2025-03-24 19:04,62.66,90.87,358.67,102,95
2025-03-24 19:19,71.74,96.64,326.42,102,96
2025-03-24 19:34,79.14,87.51,316.44,100,99
2025-03-24 19:49,83.78,77.52,388.82,98,102
2025-03-24 20:04,75.1,74.36,310.6,99,100
2025-03-24 20:19,65.46,93.38,295.31,102,96
2025-03-24 20:34,64.09,88.29,342.17,102,96
2025-03-24 20:49,60.48,62.59,346.1,100,99
2025-03-24 21:04,81.52,61.82,365.01,97,104
2025-03-24 21:19,76.33,94.03,267.06,101,98
2025-03-24 21:34,61.47,82.9,272.33,102,96
2025-03-24 21:49,87.19,86.56,277.03,98,101
2025-03-24 22:04,69.31,73.36,364.73,100,99
2025-03-24 22:19,78.84,78.49,373.94,99,100
2025-03-24 22:34,65.73,74.49,365.15,100,98
2025-03-24 22:49,71.54,73.26,305.54,99,100
2025-03-24 23:04,83.4,71.26,265.3,97,102
2025-03-24 23:19,86.32,75.28,338.38,97,102
2025-03-24 23:34,72.82,90.61,290.11,101,97
2025-03-24 23:49,88.92,71.16,377.09,97,104
2025-03-25 00:04,69.28,77.47,268.39,100,99
2025-03-25 00:19,64.56,95.31,288.13,103,95
2025-03-25 00:34,63.64,91.32,258.93,102,96
2025-03-25 00:49,77.57,78.36,313.41,99,100
2025-03-25 01:04,65.64,97.21,257.91,103,95
2025-03-25 01:19,73.56,73.7,312.52,99,100
2025-03-25 01:34,62.19,94.11,355.15,103,95
2025-03-25 01:49,87.24,96.91,370.49,99,99
2025-03-25 02:04,86.02,71.43,300.16,97,103
2025-03-25 02:19,73.5,68.98,335.53,99,101
2025-03-25 02:34,76.57,61.83,311.96,97,103
2025-03-25 02:49,64.08,78.91,265.77,101,97
2025-03-25 03:04,84.89,91.79,271.22,99,100
2025-03-25 03:19,62.54,76.97,276.47,101,97
2025-03-25 03:34,62.9,93.55,286.94,103,95
2025-03-25 03:49,79.48,81.48,315.76,99,100
2025-03-25 04:04,89.2,84.56,317.86,98,102
2025-03-25 04:19,88.16,92.41,261.68,99,100
2025-03-25 04:34,70.35,99.38,328.08,102,96
2025-03-25 04:49,72.27,61.7,299.3,98,102
2025-03-25 05:04,78.43,72.92,350.68,98,101
2025-03-25 05:19,74.58,62.35,342.27,98,102
2025-03-25 05:34,63.84,89.43,317.44,102,96
2025-03-25 05:49,84.28,98.87,320.2,100,99
2025-03-25 06:04,63.65,62.82,344.84,99,100
2025-03-25 06:19,70.55,90.49,307.4,101,97
2025-03-25 06:34,64.38,62.73,357.62,99,100
2025-03-25 06:49,87.12,70.97,320.11,97,103
2025-03-25 07:04,80.84,99.08,353.77,101,98
2025-03-25 07:19,65.12,67.5,335.07,100,99
2025-03-25 07:34,64.04,90.72,364.4,102,96
2025-03-25 07:49,83.15,84.83,377.5,99,100
2025-03-25 08:04,88.47,95.85,352.79,99,100
2025-03-25 08:19,72.88,98.26,333.33,102,96
2025-03-25 08:34,89.6,67.79,309.2,96,104
2025-03-25 08:49,68.77,94.03,385.86,102,96
2025-03-25 09:04,86.99,84.1,353.91,98,101
2025-03-25 09:19,76.45,60.42,315.33,97,103
2025-03-25 09:34,85.98,65.59,319.43,96,104
2025-03-25 09:49,80.42,83.27,286.69,99,100
2025-03-25 10:04,64.29,70.54,385.95,100,99
2025-03-25 10:19,88.14,97.26,258.53,99,100
2025-03-25 10:34,86.84,82.58,280.36,98,101
2025-03-25 10:49,82.38,98.7,357.56,100,98
2025-03-25 11:04,76.53,89.83,329.25,100,98
2025-03-25 11:19,70.88,98.03,278.57,102,96
2025-03-25 11:34,76.84,94.44,373.72,101,98
2025-03-25 11:49,77.13,77.48,335.42,99,100
2025-03-25 12:04,84.03,97.42,341.12,100,99
2025-03-25 12:19,69.95,99.43,360.53,102,96
2025-03-25 12:34,77.09,72.21,266.12,98,101
2025-03-25 12:49,87.15,67.4,250.21,96,104
2025-03-25 13:04,75.18,98.21,376.89,101,97
2025-03-25 13:19,81.04,73.04,386.61,98,102
2025-03-25 13:34,63.12,88.99,387.68,102,96
2025-03-25 13:49,66.81,84.6,252.98,101,97
2025-03-25 14:04,79.34,64.64,276.34,97,103
2025-03-25 14:19,60.21,74.12,318.35,101,97
2025-03-25 14:34,67.23,61.59,275.0,99,101
2025-03-25 14:49,78.38,93.26,342.88,100,98
2025-03-25 15:04,70.83,61.95,363.8,98,101
2025-03-25 15:19,74.22,82.51,274.09,100,99
2025-03-25 15:34,75.93,99.09,309.19,101,97
2025-03-25 15:49,65.17,65.33,376.53,100,100
2025-03-25 16:04,67.72,82.04,347.47,101,98
2025-03-25 16:19,74.56,89.67,262.93,101,98
2025-03-25 16:34,63.9,60.91,278.71,99,100
2025-03-25 16:49,81.62,68.6,305.76,97,103
2025-03-25 17:04,78.28,63.47,336.6,97,103
2025-03-25 17:19,69.58,84.63,360.28,101,98
2025-03-25 17:34,85.91,75.43,272.17,97,102
2025-03-25 17:49,69.04,76.97,379.39,100,99
2025-03-25 18:04,82.88,93.13,299.57,100,99
2025-03-25 18:19,83.12,76.23,327.55,98,102
2025-03-25 18:34,61.59,97.41,369.66,103,94
2025-03-25 18:49,80.19,67.01,345.14,97,102
2025-03-25 19:04,75.26,97.5,262.26,101,97
2025-03-25 19:19,75.84,64.95,253.33,98,102
2025-03-25 19:34,85.11,77.39,339.89,98,102
2025-03-25 19:49,88.3,83.18,307.86,98,102
2025-03-25 20:04,78.6,63.13,354.49,97,103
2025-03-25 20:19,86.83,90.94,325.8,99,100
2025-03-25 20:34,67.55,98.23,359.46,102,95
2025-03-25 20:49,81.18,65.69,287.04,97,103
2025-03-25 21:04,62.45,75.33,315.54,101,98
2025-03-25 21:19,65.18,98.05,307.98,103,95
2025-03-25 21:34,81.62,93.48,289.43,100,99
2025-03-25 21:49,89.09,79.68,343.21,97,102
2025-03-25 22:04,81.44,81.44,260.21,99,101
2025-03-25 22:19,60.59,84.78,259.17,102,96
2025-03-25 22:34,82.08,69.42,326.98,97,103
2025-03-25 22:49,66.67,80.08,379.17,101,98
2025-03-25 23:04,65.25,61.57,345.67,99,100
2025-03-25 23:19,63.68,71.63,256.69,100,98
2025-03-25 23:34,77.27,74.18,309.08,99,101
2025-03-25 23:49,70.59,85.54,373.74,101,98
2025-03-26 00:04,75.11,67.65,335.51,98,101
2025-03-26 00:19,82.13,87.96,300.06,99,100
2025-03-26 00:34,81.83,63.92,281.26,97,103
2025-03-26 00:49,62.23,81.26,363.15,102,97
2025-03-26 01:04,72.09,81.64,348.55,100,99
2025-03-26 01:19,66.68,61.25,303.0,99,101
2025-03-26 01:34,82.66,71.93,285.3,98,102
2025-03-26 01:49,85.09,64.76,285.93,96,104
2025-03-26 02:04,74.18,72.41,291.61,99,100
2025-03-26 02:19,69.69,86.57,258.74,101,97
2025-03-26 02:34,84.65,98.78,277.75,100,99
2025-03-26 02:49,82.45,65.38,381.58,97,103
2025-03-26 03:04,82.49,86.85,328.35,99,100
2025-03-26 03:19,76.29,61.7,287.99,97,103
2025-03-26 03:34,68.55,81.65,358.02,101,98
2025-03-26 03:49,80.77,81.42,264.13,99,100
2025-03-26 04:04,88.02,99.79,371.52,100,99
2025-03-26 04:19,85.68,71.87,268.76,97,103
2025-03-26 04:34,75.65,61.26,255.33,98,102
2025-03-26 04:49,70.5,62.65,261.21,98,101
2025-03-26 05:04,70.32,79.36,381.24,100,99
2025-03-26 05:19,69.22,68.63,263.35,99,100
2025-03-26 05:34,60.15,97.48,327.57,103,94
2025-03-26 05:49,61.54,95.62,300.83,103,94
2025-03-26 06:04,87.36,95.87,317.36,99,100
2025-03-26 06:19,77.09,81.53,264.06,99,100
2025-03-26 06:34,78.68,77.53,376.15,99,101
2025-03-26 06:49,87.14,77.31,325.27,97,102
2025-03-26 07:04,67.95,67.0,284.46,99,100
2025-03-26 07:19,79.38,86.8,328.98,100,99
2025-03-26 07:34,73.8,91.73,280.73,101,98
2025-03-26 07:49,60.54,95.99,304.9,103,94
2025-03-26 08:04,63.34,91.59,389.26,102,95
2025-03-26 08:19,79.54,86.47,318.12,99,99
2025-03-26 08:34,76.04,95.72,319.0,101,97
2025-03-26 08:49,78.38,66.68,309.91,98,102
2025-03-26 09:04,85.97,73.54,312.16,97,103
2025-03-26 09:19,85.0,89.98,368.89,99,100
2025-03-26 09:34,71.0,63.4,359.5,98,101
2025-03-26 09:49,88.13,97.08,340.26,99,100
2025-03-26 10:04,70.56,93.2,353.61,101,97
2025-03-26 10:19,72.4,88.38,322.75,101,98
2025-03-26 10:34,82.74,81.93,294.14,99,101
2025-03-26 10:49,74.79,64.48,281.98,98,102
2025-03-26 11:04,79.77,87.71,340.84,100,99
2025-03-26 11:19,88.9,69.27,278.98,96,104
2025-03-26 11:34,77.75,84.61,308.18,100,99
2025-03-26 11:49,83.73,97.72,324.64,100,99
2025-03-26 12:04,62.91,62.45,325.88,100,100
2025-03-26 12:19,70.75,97.53,257.01,102,96
2025-03-26 12:34,88.01,91.95,272.17,99,100
2025-03-26 12:49,66.06,71.26,279.83,100,99
2025-03-26 13:04,89.29,62.93,376.52,96,105
2025-03-26 13:19,69.37,94.85,336.47,102,96
2025-03-26 13:34,65.74,96.69,257.56,103,95
2025-03-26 13:49,88.5,61.5,257.04,96,105
2025-03-26 14:04,67.77,94.86,366.84,102,96
2025-03-26 14:19,81.96,92.03,376.59,100,99
2025-03-26 14:34,89.34,72.55,336.8,97,103
2025-03-26 14:49,78.46,94.22,327.61,100,98
2025-03-26 15:04,74.12,88.84,273.04,101,98
2025-03-26 15:19,67.98,83.42,381.97,101,98
2025-03-26 15:34,79.38,95.5,316.12,100,98
2025-03-26 15:49,73.65,94.87,292.9,101,97
2025-03-26 16:04,83.87,69.38,331.08,97,103
2025-03-26 16:19,61.32,92.75,303.96,103,95
2025-03-26 16:34,87.81,91.8,330.83,99,100
2025-03-26 16:49,88.81,65.19,290.84,96,104
2025-03-26 17:04,65.33,86.82,355.66,102,97
2025-03-26 17:19,77.61,92.34,305.41,100,98
2025-03-26 17:34,60.78,65.35,379.92,100,99
2025-03-26 17:49,71.89,93.82,348.81,101,97
2025-03-26 18:04,61.49,79.15,267.58,101,97
2025-03-26 18:19,73.1,83.27,259.16,100,99
2025-03-26 18:34,61.94,97.85,260.76,103,94
2025-03-26 18:49,82.07,94.09,259.7,100,99
2025-03-26 19:04,82.09,83.33,302.73,99,100
2025-03-26 19:19,69.74,89.08,258.45,101,97
2025-03-26 19:34,89.71,82.34,295.53,98,102
2025-03-26 19:49,85.67,94.58,277.56,99,99
2025-03-26 20:04,86.91,73.52,328.89,97,103
2025-03-26 20:19,72.76,76.12,380.4,99,100
2025-03-26 20:34,82.03,77.49,310.83,98,101
2025-03-26 20:49,66.41,65.53,350.79,99,100
2025-03-26 21:04,88.2,75.28,353.17,97,103
2025-03-26 21:19,68.78,60.03,265.2,98,101
2025-03-26 21:34,79.16,88.69,308.81,100,99
2025-03-26 21:49,69.5,85.93,356.14,101,98
2025-03-26 22:04,85.29,65.74,328.44,97,104
2025-03-26 22:19,79.66,85.63,358.84,99,100
2025-03-26 22:34,66.38,85.27,310.13,101,97
2025-03-26 22:49,60.27,68.18,349.19,101,98
2025-03-26 23:04,71.46,95.25,255.57,102,97
2025-03-26 23:19,69.15,65.54,331.44,99,101
2025-03-26 23:34,89.17,79.7,277.07,97,102
2025-03-26 23:49,64.64,67.62,367.42,100,99
2025-03-27 00:04,73.37,61.33,304.2,98,102
2025-03-27 00:19,88.14,66.85,296.95,96,104
2025-03-27 00:34,78.96,60.36,264.54,97,103
2025-03-27 00:49,81.31,71.42,260.01,98,102
2025-03-27 01:04,74.51,98.3,273.47,101,97
2025-03-27 01:19,83.57,94.98,373.43,100,99
2025-03-27 01:34,70.2,98.37,346.19,102,96
2025-03-27 01:49,79.73,96.97,382.47,100,98
2025-03-27 02:04,61.76,87.64,279.09,102,96
2025-03-27 02:19,72.05,66.86,293.16,99,101
2025-03-27 02:34,78.37,65.1,350.53,98,102
2025-03-27 02:49,86.58,84.46,333.89,98,101
2025-03-27 03:04,81.73,93.76,326.42,100,99
2025-03-27 03:19,74.67,68.86,323.71,98,101
2025-03-27 03:34,61.0,78.3,347.66,101,97
2025-03-27 03:49,61.12,61.27,253.64,100,100
2025-03-27 04:04,85.19,73.34,364.91,97,103
2025-03-27 04:19,70.85,94.29,294.29,102,97
2025-03-27 04:34,85.1,93.69,376.52,99,99
2025-03-27 04:49,68.55,99.51,384.31,102,95
2025-03-27 05:04,66.91,94.11,272.69,102,96
2025-03-27 05:19,67.76,90.55,295.25,102,96
2025-03-27 05:34,79.33,77.41,371.12,99,101
2025-03-27 05:49,71.25,88.48,283.33,101,97
2025-03-27 06:04,89.76,80.62,351.32,97,102
2025-03-27 06:19,67.26,78.39,352.02,100,98
2025-03-27 06:34,70.46,92.33,259.19,101,97
2025-03-27 06:49,84.33,71.73,254.89,97,103
2025-03-27 07:04,61.88,72.23,286.49,101,98
2025-03-27 07:19,75.73,82.51,327.71,100,99
2025-03-27 07:34,89.54,74.48,372.95,97,103
2025-03-27 07:49,86.19,62.49,259.79,96,104
2025-03-27 08:04,72.24,71.0,271.7,99,100
2025-03-27 08:19,68.96,94.38,311.05,102,96
2025-03-27 08:34,88.56,64.92,339.59,96,104
2025-03-27 08:49,64.57,88.61,327.67,102,96
2025-03-27 09:04,66.85,61.25,370.23,99,101
2025-03-27 09:19,73.46,67.18,257.55,98,101
2025-03-27 09:34,65.75,75.02,299.22,100,98
2025-03-27 09:49,81.66,98.03,324.26,100,98
2025-03-27 10:04,79.23,70.5,382.34,98,102
2025-03-27 10:19,75.17,98.35,378.02,101,97
2025-03-27 10:34,88.66,93.22,325.92,99,100
2025-03-27 10:49,77.16,88.28,329.35,100,99
2025-03-27 11:04,79.61,84.67,388.53,99,100
2025-03-27 11:19,79.17,89.23,313.06,100,99
2025-03-27 11:34,67.94,64.26,257.61,99,100
2025-03-27 11:49,80.26,77.2,283.9,98,101
2025-03-27 12:04,80.86,69.65,357.86,98,102
2025-03-27 12:19,62.89,94.71,289.08,103,95
2025-03-27 12:34,62.97,60.67,286.54,99,100
2025-03-27 12:49,87.29,60.29,322.05,96,105
2025-03-27 13:04,64.63,71.97,330.96,100,99
2025-03-27 13:19,68.51,84.76,386.28,101,97
2025-03-27 13:34,77.39,84.01,330.13,100,99
2025-03-27 13:49,71.63,67.69,306.99,99,101
2025-03-27 14:04,63.66,80.25,307.66,101,97
2025-03-27 14:19,67.95,91.59,338.85,102,96
2025-03-27 14:34,85.51,94.27,374.24,99,99
2025-03-27 14:49,61.06,75.54,376.64,101,97
2025-03-27 15:04,61.39,78.8,373.29,101,97
2025-03-27 15:19,68.76,71.87,309.28,100,99
2025-03-27 15:34,81.61,80.96,342.76,99,101
2025-03-27 15:49,89.07,78.47,278.83,97,103
2025-03-27 16:04,77.34,90.88,357.37,100,98
2025-03-27 16:19,68.93,71.95,296.13,100,99
2025-03-27 16:34,68.37,87.58,341.65,101,97
2025-03-27 16:49,89.72,78.57,261.87,97,103
2025-03-27 17:04,61.53,65.51,261.94,100,99
2025-03-27 17:19,74.93,74.62,269.24,99,100
2025-03-27 17:34,78.39,62.07,254.08,97,103
2025-03-27 17:49,62.53,66.58,384.38,100,99
2025-03-27 18:04,75.93,73.38,295.51,99,101
2025-03-27 18:19,61.67,74.89,359.5,101,98
2025-03-27 18:34,71.67,65.18,289.68,99,101
2025-03-27 18:49,79.79,75.87,349.61,98,101
2025-03-27 19:04,65.06,89.0,275.72,102,96
2025-03-27 19:19,85.99,96.08,252.99,99,99
2025-03-27 19:34,74.99,85.53,287.96,100,99
2025-03-27 19:49,82.48,95.86,275.07,100,99
2025-03-27 20:04,65.34,78.38,279.58,101,98
2025-03-27 20:19,74.75,88.04,345.35,100,98
2025-03-27 20:34,87.25,70.44,316.45,97,103
2025-03-27 20:49,74.15,85.92,344.12,100,98
2025-03-27 21:04,63.7,70.87,357.18,100,99
2025-03-27 21:19,82.2,98.56,384.35,100,98
2025-03-27 21:34,89.95,79.05,312.11,97,103
2025-03-27 21:49,67.28,65.69,294.38,99,100
2025-03-27 22:04,63.79,86.47,351.8,102,96
2025-03-27 22:19,64.05,81.39,355.66,101,97
2025-03-27 22:34,79.38,61.95,320.1,97,103
2025-03-27 22:49,63.19,81.4,254.45,101,97
2025-03-27 23:04,74.22,90.8,315.99,101,98
2025-03-27 23:19,60.41,63.32,346.61,100,99
2025-03-27 23:34,62.78,84.43,301.29,102,96
2025-03-27 23:49,71.14,81.56,375.43,100,98
2025-03-28 00:04,89.09,60.28,280.19,95,105
2025-03-28 00:19,63.91,69.75,273.94,100,99
2025-03-28 00:34,73.98,87.72,300.78,100,98
2025-03-28 00:49,82.82,96.68,301.82,100,99
2025-03-28 01:04,88.6,97.26,376.75,99,100
2025-03-28 01:19,66.35,70.08,270.39,100,99
2025-03-28 01:34,73.39,79.47,340.79,100,99
2025-03-28 01:49,86.71,90.85,282.5,99,100
2025-03-28 02:04,87.44,77.16,307.82,97,102
2025-03-28 02:19,70.58,72.33,336.16,99,100
2025-03-28 02:34,65.13,70.06,373.18,100,99
2025-03-28 02:49,66.65,65.89,287.0,99,100
2025-03-28 03:04,88.86,79.48,371.51,97,102
2025-03-28 03:19,66.98,62.11,264.34,99,101
2025-03-28 03:34,78.75,66.58,251.41,98,102
2025-03-28 03:49,78.25,73.95,266.15,98,101
2025-03-28 04:04,72.81,68.37,334.41,99,101
2025-03-28 04:19,81.33,86.84,268.69,99,100
2025-03-28 04:34,76.17,98.78,330.9,101,97
2025-03-28 04:49,82.51,72.89,309.37,98,102
2025-03-28 05:04,79.6,88.35,318.37,100,99
2025-03-28 05:19,72.4,63.48,342.69,98,101
2025-03-28 05:34,63.01,61.57,286.19,99,100
2025-03-28 05:49,77.41,78.31,327.78,99,100
2025-03-28 06:04,79.78,82.09,345.62,99,100
2025-03-28 06:19,85.45,74.44,347.65,97,102
2025-03-28 06:34,88.54,99.29,387.62,99,99
2025-03-28 06:49,71.04,73.0,342.96,99,100
2025-03-28 07:04,64.5,78.45,277.9,101,98
2025-03-28 07:19,70.23,89.51,348.18,101,97
2025-03-28 07:34,70.63,86.24,282.02,101,98
2025-03-28 07:49,66.71,72.1,332.19,100,99
2025-03-28 08:04,65.06,86.22,297.42,102,97
2025-03-28 08:19,62.64,60.05,287.9,99,100
2025-03-28 08:34,62.47,63.42,321.3,100,99
2025-03-28 08:49,70.54,94.14,284.9,102,96
